,Full_Name,Overall,Potential,Value(in_Euro),Positions_Played,Best_Position,Nationality,Age,Club_Name,Wage(in_Euro),Release_Clause,Defending_Total,Physicality_Total,Position_Category
3207,Sergio Akieme Rodríguez,72,79,4500000,"LB,LWB,LM",LB,Spain,24,Unión Deportiva Almería,14000,10800000,68,70,Defense
3208,Iván Jaime Pajuelo,72,82,5500000,"CAM,ST,LW",CAM,Spain,21,Futebol Clube de Famalicão,6000,12700000,50,61,Midfield
3209,Andreas Linde,72,74,2000000,GK,GK,Sweden,28,SpVgg Greuther Fürth,7000,3400000,48,73,Goalkeeper
3210,Ignacio Peña Sotorres,72,81,4500000,GK,GK,Spain,23,FC Barcelona,44000,10100000,35,71,Goalkeeper
3211,Fabian Lustenberger,72,72,750000,CB,CB,Switzerland,34,BSC Young Boys,15000,1100000,73,71,Defense
3212,Sebastião Erick Couteira Baía,72,72,2800000,"CAM,RM",RW,Brazil,22,Club Athletico Paranaense,10000,5300000,42,52,Attack
3213,Dersan Jaime Dinis Abravanel,72,72,2300000,RW,RW,Brazil,30,Palmeiras,27000,4099999,52,68,Attack
3214,Braian Cufré,72,77,3200000,"LB,LM",LWB,Argentina,25,RCD Mallorca,16000,7300000,68,75,Defense
3215,Yann Bodiger,72,74,2500000,"CDM,CM,CAM",CDM,France,27,Granada CF,8000,4200000,70,74,Other
3216,Samuel Almeida Costa,72,81,5000000,"CDM,CM",CDM,Portugal,21,Unión Deportiva Almería,12000,12000000,69,73,Other
3217,Ailton Jonas Valpaços Salazar,72,72,1900000,"CB,CDM",CB,Brazil,30,São Paulo,23000,3600000,71,76,Defense
3218,Michael Rangel,72,72,2000000,ST,ST,Colombia,31,Club Deportes Tolima,4000,2800000,36,73,Attack
3219,Robin Pröpper,72,73,2200000,CB,CB,Netherlands,28,FC Twente,10000,3500000,72,77,Defense
3220,Tomás Rincón,72,72,1100000,"CM,CDM",CDM,Venezuela,34,U.C. Sampdoria,14000,2000000,72,75,Other
3221,Aurélio Gabriel Ulineia Buta,72,75,3100000,"RM,RWB",RM,Portugal,25,Eintracht Frankfurt,18000,5500000,64,68,Midfield
3222,Gil Bastião Dias,72,73,2800000,"LW,RW,LB",LW,Portugal,25,SL Benfica,10000,5800000,63,66,Attack
3223,Ryan Donk,72,72,425000,"CB,CDM",CB,Suriname,36,Kasimpaşa SK,7000,850000,72,76,Defense
3224,Gaëtan Weissbeck,72,77,3400000,"CAM,RM",CAM,France,25,FC Sochaux-Montbéliard,6000,6200000,46,67,Midfield
3225,Jack O'Connell,72,74,2400000,CB,CB,England,28,Sheffield United,20000,4700000,72,73,Defense
3226,Timmy Chandler,72,72,1900000,"RM,RWB",CB,United States,32,Eintracht Frankfurt,19000,3200000,73,78,Defense
3227,Pablo Lavandeira,72,72,1900000,"CAM,RM,LM",CAM,Uruguay,32,Club Alianza Lima,850,4200000,35,59,Midfield
3228,Josip Stanišić,72,81,5000000,"RB,CB",RB,Croatia,22,FC Bayern München,27000,9300000,71,69,Defense
3229,Zinedine Ferhat,72,72,2300000,"LM,RM",LM,Algeria,29,Aytemiz Alanyaspor,16000,4600000,31,70,Midfield
3230,Fabiano Elton Sonta Pessoa,72,72,1900000,"CB,CDM",CB,Brazil,30,Fluminense,15000,3600000,74,71,Defense
3231,Ramón Ábila,72,72,1900000,ST,ST,Argentina,32,Club Atlético Colón,11000,2900000,32,78,Attack
3232,Ajdin Hrustić,72,75,3100000,"CM,CDM,RM",CAM,Australia,25,Hellas Verona,18000,5500000,60,70,Midfield
3233,Dia Saba,72,72,2300000,"CAM,ST",LM,Israel,29,Demir Grup Sivasspor,14000,4600000,29,63,Midfield
3234,Francisco Sierralta,72,77,3100000,CB,CB,Chile,25,Watford,26000,6100000,70,76,Defense
3235,Alan Aguerre,72,72,1200000,GK,GK,Argentina,31,Club Atlético Talleres,9000,1800000,47,72,Goalkeeper
3236,Mohamed Bouldini,72,75,3100000,ST,ST,Morocco,26,Levante Unión Deportiva,10000,5200000,25,76,Attack
3237,Jérémy Le Douaron,72,76,3400000,"ST,LM",ST,France,24,Stade Brestois 29,16000,7100000,49,73,Attack
3238,Alexandre Corredera Alardi,72,75,3000000,"CM,CAM,RM",CM,Spain,26,CD Tenerife,8000,5000000,55,67,Midfield
3239,Jefferson Duque,72,72,1000000,ST,ST,Colombia,35,Atlético Nacional,4000,1400000,27,68,Attack
3240,Romano Schmid,72,79,4800000,CAM,CAM,Austria,22,SV Werder Bremen,15000,9600000,48,55,Midfield
3241,Iké Ugbo,72,78,3700000,ST,ST,Canada,23,ESTAC Troyes,13000,8100000,29,69,Attack
3242,Patrick Drewes,72,72,1600000,GK,GK,Germany,29,SV Sandhausen,6000,2600000,30,71,Goalkeeper
3243,Rúben Barcelos De Sousa Lameiras,72,72,2500000,RW,RW,Portugal,27,Vitória de Guimarães,9000,5300000,42,62,Attack
3244,Josepmir Ballón,72,72,800000,"CDM,CM",CDM,Peru,34,Club Alianza Lima,750,1800000,66,77,Other
3245,Amato Ciciretti,72,72,2400000,"RW,CAM",RW,Italy,28,Ascoli,5000,3800000,40,50,Attack
3246,Juan Antonio Iglesias Sánchez,72,79,4500000,"RB,RM,RWB",RB,Spain,23,Getafe CF,15000,10400000,70,67,Defense
3247,Adrián Guerrero Aguilar,72,79,4500000,"LWB,LB,LM",LWB,Spain,24,FC Zürich,11000,7700000,69,72,Defense
3248,Hassan Al Haydos,72,72,0,"RW,CAM,LW",RW,Qatar,31,Free agent,0,0,34,46,Attack
3249,Cristian Borja,72,72,2100000,LB,LB,Colombia,29,SC Braga,10000,4200000,67,73,Defense
3250,Cristian Espinoza,72,72,2500000,RM,RM,Argentina,27,San Jose Earthquakes,7000,3800000,42,63,Midfield
3251,Nicolás Gaitán,72,72,1100000,"CAM,CM",CAM,Argentina,34,FC Paços de Ferreira,8000,2300000,41,46,Midfield
3252,Aymen Barkok,72,78,3700000,"CAM,CF,CM",CAM,Morocco,24,1. FSV Mainz 05,17000,7000000,55,65,Midfield
3253,Lorenzo Dickmann,72,75,2900000,RB,RB,Italy,25,SPAL,3000,4700000,69,64,Defense
3254,Andrés Cadavid,72,72,425000,CB,CB,Colombia,36,Independiente Medellín,2000,595000,71,73,Defense
3255,Kevin Diks,72,75,2900000,"RB,LB",RWB,Netherlands,25,F.C. København,15000,4000000,69,76,Defense
3256,Emiliano Amor,72,74,2500000,CB,CB,Argentina,27,Colo-Colo,5000,3700000,70,80,Defense
3257,Vlad Chiricheș,72,72,1500000,CB,CB,Romania,32,US Cremonese,9000,2700000,74,66,Defense
3258,Ryan Ledson,72,75,2900000,"CDM,CM",CDM,England,24,Preston North End,19000,5700000,67,74,Other
3259,Marko Rog,72,73,2700000,"CM,CDM",CAM,Croatia,26,Cagliari,4000,4500000,63,68,Midfield
3260,Guto Ramón Milazar Coimbra,72,72,2000000,LB,LB,Brazil,30,Flamengo,23000,3600000,70,58,Defense
3261,Facundo Mura,72,77,3300000,"RB,LB",RB,Argentina,23,Racing Club,11000,5200000,67,70,Defense
3262,Václav Jemelka,72,74,2500000,"CB,LB",CB,Czech Republic,27,FC Viktoria Plzeň,750,5700000,72,73,Defense
3263,Wallace Fortuna Santos,72,74,2500000,CB,CB,Brazil,27,Wuhan Three Towns,13000,4099999,71,77,Defense
3264,Kamal Sowah,72,79,4800000,"CF,CAM,LM",LM,Ghana,22,Club Brugge KV,17000,7700000,44,64,Midfield
3265,Paulo Henrique Soares dos Santos,72,72,2500000,"ST,CM",CAM,Brazil,27,Shanghai Port FC,15000,3900000,44,67,Midfield
3266,Leandro Freddy Vivenço Morais,72,72,2800000,ST,ST,Brazil,22,RB Bragantino,12000,5300000,30,62,Attack
3267,Felipe Mora,72,72,2400000,ST,ST,Chile,28,Portland Timbers,8000,3600000,27,65,Attack
3268,Bandar Al Ahbabi,72,72,1700000,"RB,RM",RB,United Arab Emirates,31,Al Ain FC,900,3700000,64,53,Defense
3269,Nélson Miguel Castro Oliveira,72,72,2300000,ST,ST,Portugal,30,PAOK,1000,5100000,37,74,Attack
3270,Thomas Monconduit,72,72,1600000,"CDM,CM",CDM,France,31,AS Saint-Étienne,7000,2900000,71,74,Other
3271,Danovis Banguero,72,72,1600000,LB,LB,Colombia,32,Atlético Nacional,4000,2200000,67,80,Defense
3272,Leonardo Henriques Coelho,72,73,2200000,CB,CB,Brazil,29,Club Nacional de Football,650,5000000,73,73,Defense
3273,Loïc Négo,72,72,0,"RM,RB,CM",RM,Hungary,31,Free agent,0,0,63,67,Midfield
3274,Michael Barrios,72,72,1900000,"RM,ST",RM,Colombia,31,Colorado Rapids,7000,2800000,41,54,Midfield
3275,Sandi Lovrič,72,79,4700000,"CM,CDM",CM,Slovenia,24,Udinese Calcio,11000,8900000,62,68,Midfield
3277,Siebe Schrijvers,72,75,3100000,"CM,CF,ST",CAM,Belgium,25,Oud-Heverlee Leuven,11000,4900000,62,63,Midfield
3278,Xavier Torres Buigues,72,72,650000,"CDM,CB",CDM,Spain,35,CD Lugo,5000,1000000,69,79,Other
3279,Luiz Lúcio Reis Júnior,72,82,4600000,GK,GK,Brazil,21,Futebol Clube de Famalicão,4000,10600000,30,72,Goalkeeper
3280,Fredrik Andre Bjørkan,72,77,3300000,LB,LB,Norway,23,Feyenoord,16000,0,66,71,Defense
3281,Badou Ndiaye,72,72,1900000,"CM,CDM",CDM,Senegal,31,Adana Demirspor,16000,3800000,70,78,Other
3282,Ferran Jutglà Blanch,72,80,5000000,"ST,LW",ST,Spain,23,Club Brugge KV,17000,8000000,29,74,Attack
3283,Mateusz Lis,72,77,2700000,GK,GK,Poland,25,ESTAC Troyes,24000,0,27,74,Goalkeeper
3284,Fábio Samuel Amorim Silva,72,75,3000000,CM,CAM,Portugal,26,FC Vizela,5000,6500000,58,63,Midfield
3285,Leonel Di Plácido,72,72,2100000,"RB,RWB,RM",RB,Argentina,28,Club Atlético Lanús,12000,3200000,65,71,Defense
3286,Matt Hedges,72,72,1500000,CB,CB,United States,32,FC Dallas,6000,2300000,71,84,Defense
3287,Oğuzhan Özyakup,72,72,2300000,"CM,CAM",CAM,Turkey,29,Fortuna Sittard,12000,3500000,57,60,Midfield
3288,Diego Mariño Villar,72,72,1200000,GK,GK,Spain,32,Real Sporting de Gijón,6000,1900000,50,68,Goalkeeper
3289,Lucas Da Cunha,72,78,3800000,"RM,CAM,RW",CAM,France,21,OGC Nice,20000,8000000,37,55,Midfield
3290,Hernán Barcos,72,72,800000,ST,ST,Argentina,38,Club Alianza Lima,700,1800000,46,71,Attack
3291,Noë Dussenne,72,72,1900000,CB,CB,Belgium,30,Standard de Liège,11000,2900000,74,74,Defense
3292,Rivaldo Coetzee,72,79,4300000,"CDM,CB",CDM,South Africa,25,Mamelodi Sundowns FC,850,10300000,74,64,Other
3293,Mikel Villanueva,72,72,2000000,CB,CB,Venezuela,29,Vitória de Guimarães,8000,4200000,71,82,Defense
3294,Carlos Cuesta,72,79,4400000,CB,CB,Colombia,23,KRC Genk,10000,7500000,72,75,Defense
3295,Enrique Bologna,72,72,250000,GK,GK,Argentina,40,Club Atlético Banfield,5000,363000,42,71,Goalkeeper
3296,Jack Robinson,72,72,2000000,"CB,LB",CB,England,28,Sheffield United,20000,3800000,72,74,Defense
3297,Lisandro López,72,72,800000,"ST,CAM",ST,Argentina,39,Club Atlético Sarmiento,8000,1200000,53,60,Attack
3298,Berat Özdemir,72,76,3100000,"CDM,CM",CDM,Turkey,24,Ettifaq FC,16000,5300000,71,74,Other
3299,Ciaran Clark,72,72,1500000,CB,CB,Republic of Ireland,32,Sheffield United,46000,0,73,71,Defense
3300,Almoez Ali,72,75,0,ST,ST,Qatar,25,Free agent,0,0,23,69,Attack
3301,Liberato Cacace,72,82,5000000,"LB,LWB",LB,New Zealand,21,Empoli,6000,10000000,66,77,Defense
3302,Oleksandr Zubkov,72,73,2800000,"RW,CAM,LW",RW,Ukraine,25,Shakhtar Donetsk,800,6400000,20,55,Attack
3303,Elijah Adebayo,72,76,3400000,ST,ST,England,24,Luton Town,23000,6700000,44,79,Attack
3304,Florin Tănase,72,72,0,"CF,ST,CM",CF,Romania,27,Free agent,0,0,42,57,Attack
3305,Loris Karius,72,72,1600000,GK,GK,Germany,29,Newcastle United,40000,3000000,55,70,Goalkeeper
3306,Alexander Alvarado,72,80,5000000,"LM,LW,CF",CAM,Ecuador,23,LDU Quito,700,11800000,53,69,Midfield
3307,Tijjani Reijnders,72,77,3500000,CM,CAM,Netherlands,23,AZ Alkmaar,7000,5500000,63,68,Midfield
3308,Seny Dieng,72,75,2300000,GK,GK,Senegal,27,Queens Park Rangers,18000,4500000,40,69,Goalkeeper
3309,Yoshimar Yotún,72,72,1800000,"CM,CDM,LM",CM,Peru,32,Club Sporting Cristal,750,3900000,65,76,Midfield
3310,Horacio Calcaterra,72,72,1400000,"CM,CAM",CM,Peru,33,Club Sporting Cristal,750,3000000,60,63,Midfield
3311,Gastón Suso,72,72,1600000,CB,CB,Argentina,31,Platense,10000,2400000,73,75,Defense
3312,Damian Dąbrowski,72,72,2000000,CDM,CDM,Poland,29,Pogoń Szczecin,8000,2700000,66,81,Other
3313,Sam Byram,72,72,2100000,"LB,RB",LB,England,28,Norwich City,29000,4000000,70,67,Defense
3314,André Hansen,72,72,1200000,GK,GK,Norway,32,Rosenborg BK,5000,1500000,33,72,Goalkeeper
3315,Theo Walcott,72,72,1500000,RM,RM,England,33,Southampton,35000,2900000,39,52,Midfield
3316,Yoann Court,72,72,1900000,"RM,LM,CAM",RM,France,32,Stade Malherbe Caen,7000,3300000,40,70,Midfield
3317,Kristjan Asllani,72,84,5500000,"CDM,CM",CM,Albania,20,Inter,6000,0,69,62,Midfield
3318,Giovanni González,72,72,2300000,"RB,RWB,RM",RB,Uruguay,27,RCD Mallorca,17000,5100000,68,71,Defense
3319,Sam Beukema,72,80,4900000,CB,CB,Netherlands,23,AZ Alkmaar,7000,8300000,72,73,Defense
3320,Exequiel Zeballos,72,85,5500000,"RW,LW",RM,Argentina,20,Boca Juniors,10000,11100000,31,46,Midfield
3321,Jamie Paterson,72,72,2300000,"LW,CM,CAM",LW,England,30,Swansea City,23000,4400000,39,51,Attack
3322,Hugo Cuypers,72,76,3300000,ST,ST,Belgium,25,KAA Gent,17000,5200000,26,69,Attack
3323,Richard Schunke,72,72,1900000,CB,CB,Argentina,30,Independiente del Valle,800,4200000,70,80,Defense
3324,Boško Šutalo,72,79,4400000,CB,CB,Croatia,22,Dinamo Zagreb,600,10600000,74,67,Defense
3325,Giulio Donati,72,72,1500000,"CB,RWB",CB,Italy,32,AC Monza,29000,2600000,72,74,Defense
3326,Mats Møller Dæhli,72,73,2700000,CAM,RM,Norway,27,1. FC Nürnberg,10000,4500000,36,62,Midfield
3327,Fredy Hinestroza,72,72,1900000,"LM,RM",LM,Colombia,32,Junior FC,4000,2700000,43,66,Midfield
3328,Marvin Wanitzek,72,72,2300000,CM,CM,Germany,29,Karlsruher SC,12000,3700000,56,67,Midfield
3329,Wylan Cyprien,72,73,2400000,"CDM,CM",CDM,France,27,FC Sion,4000,0,70,73,Other
3330,Andrea Cambiaso,72,82,5000000,"LWB,LM,RWB",LWB,Italy,22,Bologna,44000,0,68,57,Defense
3331,Samuel Kalu,72,75,3200000,"LM,RW",RM,Nigeria,24,Watford,26000,6300000,34,56,Midfield
3332,Anastasios Chatzigiovanis,72,75,3100000,RW,RM,Greece,25,MKE Ankaragücü,12000,6400000,36,61,Midfield
3333,Volodymyr Shepelev,72,76,3200000,"CM,CDM",CM,Ukraine,25,Dynamo Kyiv,750,7300000,65,62,Midfield
3334,Won Sang Um,72,80,5000000,"RW,ST,RM",RW,Korea Republic,23,Ulsan Hyundai FC,9000,7500000,38,67,Attack
3335,Bradley Dack,72,72,2400000,"CAM,CM",CAM,England,28,Blackburn Rovers,31000,4600000,53,71,Midfield
3336,Winston Reid,72,72,0,CB,CB,New Zealand,33,Free agent,0,0,74,69,Defense
3337,Marco Benassi,72,72,2500000,CM,CM,Italy,27,Fiorentina,33000,4300000,70,66,Midfield
3338,Aleš Matějů,72,72,2300000,RB,RB,Czech Republic,26,Palermo,4000,3600000,71,78,Defense
3339,Maxime Estève,72,82,4800000,CB,CB,France,20,Montpellier Hérault SC,11000,10100000,72,75,Defense
3340,Faitout Maouassa,72,75,3000000,LB,LM,France,23,Montpellier Hérault SC,14000,0,67,74,Midfield
3341,Ismael Sosa,72,72,1000000,"ST,CAM,LW",CF,Argentina,35,CD Everton de Viña del Mar,3000,1400000,45,71,Attack
3342,Michele Castagnetti,72,72,1600000,"CDM,CM",CDM,Italy,32,US Cremonese,9000,2900000,69,76,Other
3343,Roberto Insigne,72,72,2400000,"RW,RM",RW,Italy,28,Frosinone,4000,3700000,27,40,Attack
3344,Patricio Rubio,72,72,1500000,"ST,LW",ST,Chile,33,Deportivo Ñublense,7000,2000000,27,75,Attack
3345,Eray Cömert,72,78,3400000,CB,CB,Switzerland,24,Valencia CF,18000,7800000,70,76,Defense
3346,Lucas Cháves,72,73,2100000,GK,GK,Argentina,26,Club Atlético Huracán,8000,0,49,72,Goalkeeper
3347,Ádám Nagy,72,74,2500000,"CDM,CM",RWB,Hungary,27,Pisa,4000,4200000,69,61,Defense
3348,Samir Memišević,72,72,2000000,"CB,CM,CDM",CB,Bosnia and Herzegovina,28,Beijing Guoan FC,14000,3100000,69,86,Defense
3349,Kristian Thorstvedt,72,79,4700000,"CAM,CM",CM,Norway,23,U.S. Sassuolo Calcio,19000,8900000,66,80,Midfield
3350,Mikael Ishak,72,72,2300000,ST,ST,Sweden,29,Lech Poznań,9000,3200000,38,79,Attack
3351,Daniel Ojeda Saranova,72,72,2500000,"RM,LM,CAM",RM,Spain,27,SD Ponferradina,8000,4000000,41,63,Midfield
3352,Woo Yeong Jeong,72,77,3600000,"CF,CAM",RM,Korea Republic,22,Sport-Club Freiburg,18000,6400000,36,63,Midfield
3353,Sadegh Moharrami,72,74,2700000,"RB,RM",RB,Iran,26,Dinamo Zagreb,700,6100000,70,60,Defense
3354,Yvann Maçon,72,78,3500000,"RB,RWB,LB",RWB,France,23,AS Saint-Étienne,6000,7000000,65,72,Defense
3355,John Souttar,72,76,2900000,CB,CB,Scotland,25,Rangers FC,30000,5400000,71,74,Defense
3356,Alan Franco,72,78,3300000,CB,CB,Argentina,25,Atlanta United,6000,5600000,71,78,Defense
3357,Marco Grüll,72,77,3500000,"LM,ST",RM,Austria,23,SK Rapid Wien,18000,5300000,32,67,Midfield
3358,Heitor Edvaldo Barreto Gesser,72,72,2300000,LB,LB,Brazil,26,Clube Atlético Mineiro,22000,4099999,69,61,Defense
3359,Joe Gelhardt,72,87,5500000,"ST,CAM",CAM,England,20,Leeds United,22000,13900000,28,70,Midfield
3360,Terem Moffi,72,78,3700000,ST,ST,Nigeria,23,FC Lorient,13000,8100000,24,74,Attack
3361,Lorenzo Crisetig,72,72,2000000,"CDM,CM",CDM,Italy,29,Urbs Reggina 1914,3000,3100000,69,74,Other
3362,Alex Mowatt,72,72,2500000,"CM,CDM",CM,England,27,Middlesbrough,24000,0,64,73,Midfield
3363,Pablo Pérez,72,72,750000,"CM,CDM",CDM,Argentina,36,Newell's Old Boys,9000,1100000,70,75,Other
3364,João Rodolfo Bardinho Barros,72,72,2300000,"LB,RB",LB,Brazil,26,América Futebol Clube,12000,4400000,68,62,Defense
3365,Valon Berisha,72,72,2300000,"CM,CDM",CAM,Kosovo,29,Melbourne City FC,18000,0,58,76,Midfield
3366,Igor Guilherme Barbosa da Paixão,72,82,5500000,"LW,RW",RM,Brazil,22,Feyenoord,8000,9400000,30,61,Midfield
3367,Yesus Cabrera,72,72,1900000,"CAM,CM",CAM,Colombia,31,Junior FC,4000,2700000,50,49,Midfield
3368,Ben Osborn,72,72,2300000,"LWB,LM,CM",LWB,England,27,Sheffield United,19000,4400000,65,60,Defense
3369,Niclas Eliasson,72,73,2800000,"LM,LWB",LM,Sweden,26,AEK Athens,950,6400000,38,56,Midfield
3370,Yoann Salmier,72,73,2200000,CB,CB,France,29,ESTAC Troyes,13000,4600000,72,80,Defense
3371,Antônio Felipe Macedo Calegari,72,72,800000,"ST,CAM",ST,Brazil,38,Fortaleza,9000,1500000,25,70,Attack
3372,Luiz Santiago Sacramento Cruz,72,72,250000,GK,GK,Brazil,38,Clube Atlético Mineiro,11000,450000,45,74,Goalkeeper
3373,Caio Bruno Milaçar Kenedy,72,72,2600000,CAM,CAM,Brazil,26,Ceará Sporting Club,11000,4900000,31,52,Midfield
3374,Anthony Jung,72,72,2000000,"LWB,CB",LWB,Germany,30,SV Werder Bremen,16000,3600000,72,77,Defense
3375,Iago Azevedo dos Santos,72,72,1900000,CB,CB,Brazil,30,Al Shabab,22000,3200000,72,81,Defense
3376,Ashley Barnes,72,72,1900000,ST,ST,England,32,Burnley,32000,3600000,47,79,Attack
3377,Ivor Pandur,72,79,4099999,GK,GK,Croatia,22,Fortuna Sittard,12000,0,39,69,Goalkeeper
3378,Anselmo de Moraes,72,72,1400000,"CM,CDM,CAM",CDM,Brazil,33,Al Wehda,18000,2300000,71,80,Other
3379,Dener Gomes Clemente,72,72,2200000,"CM,CDM,CAM",CDM,Brazil,30,Al Tai,16000,3600000,71,80,Other
3380,Chang Min Lee,72,72,2300000,CM,CM,Korea Republic,28,Jeju United FC,7000,2900000,61,77,Midfield
3381,Francis Amuzu,72,78,3800000,"RM,LM",RM,Belgium,22,RSC Anderlecht,14000,6500000,36,59,Midfield
3382,Adam Vlkanova,72,72,2500000,"CAM,LM,RM",CAM,Czech Republic,27,FC Viktoria Plzeň,850,5500000,33,51,Midfield
3383,Matheus de Mello Costa,72,75,2700000,CB,CB,Brazil,27,Clube Sport Marítimo,8000,5900000,72,77,Defense
3384,Timoteo Samuel Triano Branco,72,72,2300000,"CDM,CM",CDM,Brazil,26,Sport Club Corinthians Paulista,18000,4400000,74,68,Other
3385,Emre Akbaba,72,72,2300000,"CAM,CM,LM",CAM,Turkey,29,Adana Demirspor,16000,4600000,57,59,Midfield
3386,Sultan Al Ghannam,72,72,2100000,RB,RB,Saudi Arabia,28,Al Nassr,25000,3600000,66,70,Defense
3387,Giorgos Kyriakopoulos,72,74,2700000,"LB,LM,LW",LB,Greece,26,U.S. Sassuolo Calcio,20000,4800000,69,69,Defense
3388,Alassane Ndao,72,75,3100000,"RM,RW",RM,Senegal,25,Antalyaspor,18000,6400000,31,54,Midfield
3389,Francisco Ribeiro Tomé,72,73,2800000,"RW,LW",RW,Portugal,26,FC Vizela,6000,6100000,33,52,Attack
3390,Zaydou Youssouf,72,78,3700000,"CM,CDM,RM",CM,France,22,Futebol Clube de Famalicão,7000,8500000,64,73,Midfield
3391,Agustín Álvarez Martínez,72,80,5500000,ST,ST,Uruguay,21,U.S. Sassuolo Calcio,18000,10500000,36,68,Attack
3392,Domagoj Antolić,72,72,1900000,"CM,CDM,CAM",CM,Croatia,31,Damac FC,16000,3100000,68,70,Midfield
3393,Ohi Omoijuanfo,72,72,2400000,ST,ST,Norway,28,Brøndby IF,13000,3100000,44,74,Attack
3394,Patrick Cutrone,72,77,3600000,ST,ST,Italy,24,Como,3000,6000000,29,68,Attack
3395,Durval Hélton Vieira Aldair,72,72,2000000,"CDM,LB",CB,Brazil,30,Atlético Clube Goianiense,10000,3800000,73,78,Defense
3396,Jaidon Anthony,72,79,4800000,"LW,ST",RM,England,22,AFC Bournemouth,30000,10600000,25,65,Midfield
3397,Zinho Vanheusden,72,79,4400000,CB,CB,Belgium,22,AZ Alkmaar,29000,0,73,75,Defense
3398,Patrick Bauer,72,72,2000000,CB,CB,Germany,29,Preston North End,23000,3800000,73,76,Defense
3399,Kevin Stöger,72,72,2300000,"CM,CAM",CAM,Austria,28,VfL Bochum 1848,18000,4099999,41,61,Midfield
3400,Miloš Degenek,72,73,2200000,CB,CB,Australia,28,Columbus Crew,6000,3500000,70,83,Defense
3401,Numa Lavanchy,72,72,2100000,"RB,RWB,RM",RB,Switzerland,28,FC Sion,17000,3000000,64,71,Defense
3402,Florian Tardieu,72,72,2000000,"CDM,CM",CDM,France,30,ESTAC Troyes,13000,4000000,68,75,Other
3403,Mbwana Ally Samatta,72,72,2300000,ST,ST,Tanzania,29,KRC Genk,45000,0,31,71,Attack
3404,Luděk Pernica,72,72,1500000,CB,CB,Czech Republic,32,FC Viktoria Plzeň,750,3300000,72,76,Defense
3405,Andrea Cistana,72,75,2800000,CB,CB,Italy,25,Brescia,4000,4600000,74,71,Defense
3406,Kevin Sandoval,72,75,3100000,"LW,LM,CM",CAM,Peru,25,Cienciano,800,6900000,32,56,Midfield
3407,Bastian Oczipka,72,72,1200000,"LWB,CB",LWB,Germany,33,DSC Arminia Bielefeld,13000,1900000,72,73,Defense
3408,Maxime Le Marchand,72,72,1500000,CB,CB,France,32,RC Strasbourg Alsace,17000,2900000,73,68,Defense
3409,Juan Gabriel Rodríguez,72,73,2200000,CB,CB,Argentina,28,Rosario Central,11000,0,70,75,Defense
3410,Magnus Wolff Eikrem,72,72,2000000,"CF,CAM",CAM,Norway,31,Molde FK,6000,2500000,33,44,Midfield
3411,Hernán Toledo,72,73,2800000,"LM,RM,LW",LM,Argentina,26,Estudiantes de La Plata,10000,4400000,46,62,Midfield
3412,Dominik Holec,72,74,2100000,GK,GK,Slovakia,27,AC Sparta Praha,600,4800000,34,71,Goalkeeper
3413,Kellyn Acosta,72,73,2700000,"CM,CDM",CM,United States,26,Los Angeles FC,7000,4300000,66,77,Midfield
3414,Oghenekaro Etebo,72,74,2600000,"CDM,CM",CDM,Nigeria,26,Stoke City,19000,5100000,70,77,Other
3415,Mirko Pigliacelli,72,72,1600000,GK,GK,Italy,29,Palermo,3000,2500000,48,70,Goalkeeper
3416,Anton Tinnerholm,72,72,1700000,"RB,RWB",RB,Sweden,31,New York City FC,6000,2600000,68,75,Defense
3417,Alejandro Pozo Pozo,72,79,4500000,"RB,RM,RWB",RM,Spain,23,Unión Deportiva Almería,14000,10800000,67,46,Midfield
3418,Flávio Raphael Rebeilo Mestres,72,72,2000000,LB,LB,Brazil,30,Santos,17000,3800000,68,62,Defense
3419,Joe Rodon,72,80,4900000,CB,CB,Wales,24,Stade Rennais FC,40000,0,74,72,Defense
3420,Charly Musonda,72,75,3100000,"RM,LM",CAM,Belgium,25,Levante Unión Deportiva,9000,5200000,24,38,Midfield
3421,Laurent Depoitre,72,72,1500000,ST,ST,Belgium,33,KAA Gent,18000,2300000,45,82,Attack
3422,João Pedro Reis Amaral,72,72,2300000,CAM,LW,Portugal,30,Lech Poznań,8000,3200000,35,55,Attack
3423,Rune Almenning Jarstein,72,72,250000,GK,GK,Norway,37,Hertha BSC,10000,450000,37,75,Goalkeeper
3424,Emre Kılınç,72,72,2500000,"RM,CM,LM",RM,Turkey,27,MKE Ankaragücü,40000,0,51,58,Midfield
3425,Agustín Urzi,72,83,5500000,"LM,LW",LM,Argentina,22,Club Atlético Banfield,10000,9100000,36,59,Midfield
3426,Alejandro Bedoya,72,72,950000,"CM,CDM",CM,United States,35,Philadelphia Union,5000,1400000,65,73,Midfield
3427,Václav Jurečka,72,72,2400000,"ST,RM",ST,Czech Republic,28,SK Slavia Praha,1000,5300000,28,70,Attack
3428,Joel Soñora,72,75,3100000,"CAM,CM",CAM,United States,25,Clube Sport Marítimo,8000,6700000,55,58,Midfield
3429,Tomás Belmonte,72,78,3700000,"CM,CDM",CM,Argentina,24,Club Atlético Lanús,11000,6300000,70,77,Midfield
3430,Cristian Buonaiuto,72,72,2300000,"LM,CAM",LM,Italy,29,US Cremonese,10000,4099999,44,57,Midfield
3431,Seung Hyun Jeong,72,74,2400000,CB,CB,Korea Republic,28,Ulsan Hyundai FC,9000,3300000,71,81,Defense
